commodity_id,hs_code,commodity_desc,fish_type
153,304590030.0,"TILAPIA OTHER THAN OREOCHROMUS, MEAT OTHER THAN FILLETS, FRESH OR CHILLED",Tilapia
154,304610000.0,"TILAPIA FILLETS, FROZEN",Tilapia
155,304810000.0,"PACIFIC SALMON FILLETS, FROZEN",Salmon
156,304815010.0,"ATLANTIC SALMONIDAE (SALMON SALAR) FILLETS, FROZEN, NESOI",Salmon
157,304815090.0,"SALMONIDAE FILLETS, FROZEN, EXCEPT ATLANTIC SALMON, NESOI",Salmon
158,304820000.0,"TROUT FILLETS, FROZEN",Trout
159,304821000.0,"TROUT FILLETS, SKINNED, FROZEN BLOCKS WEIGHING OVER 4.5 KG EACH",Trout
160,304825000.0,"TROUT FILLETS, FROZEN, NESOI",Trout
161,305204020.0,"SALMON ROE, DRIED, SMOKED, SALTED OR IN BRINE",Salmon
162,305410000.0,"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",Salmon
163,305430000.0,"SMOKED TROUT, INCLUDING FILLETS, OTHER THAN EDIBLE OFFAL",Trout
164,305440000.0,"SMOKED TILAPIAS, CATFISH, CARP, EELS, NILE PERCH AND SNAKEHEADS, INCLUDING FILLE",Tilapia
165,305694000.0,"SALMON, SALTED BUT NOT DRIED OR SMOKED, IN BRINE",Salmon
166,306130000.0,"SHRIMPS AND PRAWNS, INCLUDING IN SHELL, FROZEN",Shrimp
167,306130003.0,SHRIMPS/PRAWNS SHELL-ON COUNT SIZE < 33 PER KG FRZ,Shrimp
168,306130006.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 33-45 PER KG FRZN,Shrimp
169,306130009.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 46-55 PER KG FRZN,Shrimp
170,306130012.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 56-66 PER KG FRZN,Shrimp
171,306130015.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 67-88 PER KG FRZN,Shrimp
172,306130018.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 89-110 PER KG FRZ,Shrimp
173,306130020.0,"SHRIMPS AND PRAWNS, SHELL-ON, FROZEN",Shrimp
174,306130021.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 111-132 PR KG FRZ,Shrimp
175,306130024.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE 133-154 PR KG FRZ,Shrimp
176,306130027.0,SHRIMP/PRAWN SHELL-ON COUNT SIZE MORE THAN 154 FRZ,Shrimp
177,306130040.0,"SHRIMPS AND PRAWNS, PEELED, FROZEN",Shrimp
178,306160003.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) LE",Shrimp
179,306160006.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 33",Shrimp
180,306160009.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 46",Shrimp
181,306160012.0,"COLD WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 56",Shrimp
182,306160015.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 67",Shrimp
183,306160018.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 89",Shrimp
184,306160021.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 11",Shrimp
185,306160024.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 13",Shrimp
186,306160027.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) MO",Shrimp
187,306160040.0,"COLD-WATER SHRIMPS AND PRAWNS, FROZEN, PEELED",Shrimp
188,306170003.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) LESS THAN 33 ",Shrimp
189,306170006.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 33-45 PER KG ",Shrimp
190,306170009.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 46-55 PER KG ",Shrimp
191,306170012.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 56-66 PER KG ",Shrimp
192,306170015.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 67-88 PER KG ",Shrimp
193,306170018.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 89-110 PER KG",Shrimp
194,306170021.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 111-132 PER K",Shrimp
195,306170024.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 133-154 PER K",Shrimp
196,306170027.0,"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) MORE THAN 154",Shrimp
197,306170040.0,"SHRIMPS AND PRAWNS, FROZEN, PEELED, NESOI",Shrimp
198,306230000.0,SHRIMPS/PRAWNS INC SHELL FR/CH/DRD/SALTED/IN BRINE,Shrimp
199,306230020.0,SHRIMPS/PRAWNS SHELL-ON FR/CH/DRD/SALTED/IN BRINE,Shrimp
200,306230040.0,"SHRIMPS, PRAWNS, PEELED FR/CH/DRD/SALTED/IN BRINE",Shrimp
201,306260000.0,"COLD-WATER SHRIMPS AND PRAWNS, INCLUDING IN SHELL, FRESH, CHILLED, DRIED, SALTED",Shrimp
202,306260020.0,"COLD-WATER SHRIMPS AND PRAWNS, SHELL-ON, NOT FROZEN",Shrimp
203,306260040.0,"COLD-WATER SHRIMPS AND PRAWNS, PEELED, NOT FROZEN",Shrimp
204,306270000.0,"SHRIMPS AND PRAWNS, INCLUDING IN SHELL, FRESH, CHILLED, DRIED, SALTED OR IN BRIN",Shrimp
205,306270020.0,"SHRIMPS AND PRAWNS, SHELL-ON, NOT FROZEN, OTHER THAN COLD WATER",Shrimp
206,306270040.0,"SHRIMPS AND PRAWNS, PEELED, NOT FROZEN, OTHER THAN COLD WATER",Shrimp
207,307100020.0,"SEED OYSTERS, LIVE",Oyster
208,307100040.0,OYSTERS NESOI LIVE/FRSH/CHLD/FZ/DRD/SALTD/IN BRINE,Oyster
209,307100060.0,OYSTERS FARMD NESOI LIVE/FRSH/CHLD/FZ/DRD/SALT ETC,Oyster
210,307100080.0,OYSTERS NOT FARMD NESOI LIVE/FRSH/CHLD/FZ/DRD/SALT,Oyster
211,307110020.0,"SEED OYSTERS, LIVE, FRESH OR CHILLED",Oyster
212,307110040.0,"OYSTERS EXCEPT SEED, LIVE, FRESH OR CHILLED",Oyster
213,307110060.0,"OYSTERS, FARMED, LIVE, FRESH OR CHILLED, EXCEPT SEED OYSTERS",Oyster
214,307110080.0,"OYSTERS, NOT FARMED, LIVE, FRESH OR CHILLED, EXCEPT SEED OYSTERS",Oyster
215,307190000.0,"OYSTERS, FROZEN, DRIED, SALTED OR IN BRINE",Oyster
216,307190060.0,"OYSTERS, FARMED, OTHER THAN LIVE, FRESH OR CHILLED",Oyster
217,307190080.0,"OYSTERS, NOT FARMED, OTHER THAN LIVE, FRESH OR CHILLED",Oyster
218,307210000.0,"SCALLOPS INCL QUEEN SCALLOPS, LIVE, FRESH, CHILLED",Scallop
219,307290000.0,"SCALLOPS INCL QUEEN, FROZEN/DRIED/SALTED/IN BRINE",Scallop
220,307310000.0,"MUSSELS, LIVE, FRESH OR CHILLED",Mussel
221,307310010.0,"MUSSELS, FARMED, LIVE, FRESH OR CHILLED",Mussel
222,307310090.0,"MUSSELS NOT FARMED LIVE, FRESH OR CHILLED",Mussel
223,307390000.0,"MUSSELS, FROZEN, DRIED, SALTED OR IN BRINE",Mussel
224,307710050.0,"GEODUCK CLAMS, LIVE, FRESH OR CHILLED",Clam
225,307710070.0,"CLAMS, LIVE, FRESH OR CHILLED, EXCEPT GEODUCK CLAMS",Clam
226,307790030.0,"GEODUCK CLAMS, INCLUDING FLOURS, MEALS AND PELLETS FIT FOR HUMAN CONSUMPTION, FR",Clam
227,307790051.0,"STIMSON'S CLAMS, INCLUDING FLOURS, MEALS, AND PETTETS FIT FOR HUMAN CONSUMPTION,",Clam
228,307790055.0,"CLAMS, INCLUDING FLOURS, MEALS, AND PETTETS FIT FOR HUMAN CONSUMPTION, FROZEN, D",Clam
229,307790070.0,"CLAMS (EXCEPT GEODUCK), WHETHER IN SHELL OR NOT, FROZEN, DRIED, SALTED OR IN BRI",Clam
230,307910050.0,"GEODUCK CLAMS, LVE/FRSH/CHIL EDIBLE FLOURS/PELTS",Clam
231,307910070.0,"CLAMS NESOI, LVE/FRSH/CHIL, EDIBLE FLOURS/PELLETS",Clam
232,307990030.0,"GEODUCK CLAMS, FROZEN, DRIED, SALTED OR IN BRINE",Clam
233,307990035.0,"CLAMS,EXC GEODCK, FROZEN,DRIED, SALTED OR IN BRINE",Clam
234,307990040.0,"CLAMS, FROZEN, DRIED, SALTED OR IN BRINE",Clam
235,307990050.0,"CLAMS NESOI, FROZEN, DRIED, SALTED OR IN BRINE",Clam
236,307990051.0,"STIMSONS CLAMS, FROZEN, DRIED, SALTED OR IN BRINE",Clam
237,307990055.0,"CLAMS NESOI, FROZEN, DRIED, SALTED OR IN BRINE",Clam
238,1604112000.0,"SALMON, WHOLE/PIECES, IN OIL IN AIRTIGHT CONTAINER",Salmon
239,1604112020.0,PINK (HUMPIE)SALMN WHOLE/PIECES IN OIL/AIRTIT CNTR,Salmon
240,1604112030.0,SOCKEYE SALMON WHOLE/PIECES IN OIL/AIRTIGHT CONTNR,Salmon
241,1604112090.0,SALMON NESOI WHOLE/PIECES IN OIL IN AIRTIGHT CONTR,Salmon
242,1604114010.0,"CHUM (DOG) SALMON, NOT IN OIL, CANNED",Salmon
243,1604114020.0,"PINK (HUMPIE) SALMON, NOT IN OIL, CANNED",Salmon
244,1604114030.0,"SOCKEYE SALMON, NOT IN OIL, CANNED",Salmon
245,1604114040.0,"SALMON, NESOI, NOT IN OIL, CANNED",Salmon
246,1604114050.0,"SALMON, WHOLE OR IN PIECES, BUT NOT MINCED, NESOI",Salmon
247,1605200500.0,"SHRIMP, PRAWN PRODUCTS WITH FISH MEAT PREP MEALS",Shrimp
248,1605200510.0,SHRIMP/PRAWN PRODS FISH MEAT/PREP MEAL AIRTIT CNTR,Shrimp
249,1605200590.0,SHRIMP/PRAWN PRODTS WTH FISH MEAT/PREP MEALS NESOI,Shrimp
250,1605201010.0,"SHRIMPS AND PRAWNS, FROZEN, IN AIRTIGHT CONTAINERS",Shrimp
251,1605201020.0,"SHRIMPS AND PRAWNS, BREADED, FROZEN",Shrimp
252,1605201025.0,"SHRIMPS AND PRAWNS, PREPARED, FROZEN, NESOI",Shrimp
253,1605201030.0,"SHRIMPS AND PRAWNS, PREPARED NESOI, FROZEN",Shrimp
254,1605201040.0,"SHRIMPS AND PRAWNS, CANNED",Shrimp
255,1605201050.0,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NESOI",Shrimp
256,1605210500.0,SHRIMP AND PRAWN PRODUCTS CONTAINING FISH MEAL/PREPARED MEALS,Shrimp
257,1605210500.0,SHRIMP AND PRAWN PRODUCTS CONTAINING FISH MEAT; PREPARED MEALS NOT IN AIRTIGHT C,Shrimp
258,1605211020.0,"SHRIMPS AND PRAWNS, BREADED, FROZEN",Shrimp
259,1605211025.0,"SHRIMPS AND PRAWNS, PREPARED, FROZEN, NESOI",Shrimp
260,1605211030.0,"SHRIMPS AND PRAWNS, PREPARED NESOI, FROZEN",Shrimp
261,1605211045.0,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS, NESOI",Shrimp
262,1605211050.0,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS, NESOI",Shrimp
263,1605290500.0,SHRIMP AND PRAWN PRODUCTS CONTAINING FISH MEAL IN AIRTIGHT CONTAINERS,Shrimp
264,1605290500.0,"SHRIMP AND PRAWN PRODUCTS CONTAINING FISH MEAT; PREPARED MEALS, IN AIRTIGHT CONT",Shrimp
265,1605291010.0,"SHRIMPS AND PRAWNS, FROZEN, IN AIRTIGHT CONTAINERS",Shrimp
266,1605291025.0,"SHRIMPS AND PRAWNS, FROZEN, IN AIRTIGHT CONTAINERS",Shrimp
267,1605291040.0,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, IN AIRTIGHT CONTAINERS, NESOI",Shrimp
268,1605291045.0,"SHRIMPS AND PRAWNS, NOT FROZEN, IN AIRTIGHT CONTAINERS, NESOI",Shrimp
269,1605510000.0,"OYSTERS, PREPARED OR PRESERVED",Oyster
270,1605510500.0,"OYSTER PRODUCTS CONTAINIING FISH MEAT, PREPARED MEALS",Oyster
271,1605514000.0,"OYSTERS, SMOKED",Oyster
272,1605515000.0,"OYSTERS, EXCEPT SMOKED, PREPARED OR PRESERVED",Oyster
273,1605520000.0,"SCALLOPS, INCLUDING QUEEN SCALLOPS, PREPARED OR PRESERVED",Scallop
274,1605520500.0,"SCALLOPS, INCLUDING QUEEN SCALLOP PRODUCTS, CONTAINING FISH MEAT, PREPARED MEALS",Scallop
275,1605526000.0,"SCALLOPS, PREPARED OR PRESERVED",Scallop
276,1605530000.0,"MUSSELS, PREPARED OR PRESERVED",Mussel
277,1605530500.0,"MUSSELS, PRODUCTS CONTAINING FISH MEAT, PREPARED MEALS",Mussel
278,1605536000.0,"MUSSELS, PREPARED OR PRESERVED, NESOI",Mussel
279,1605560010.0,"CLAMS, PREPARED OR PRESERVED",Clam
280,1605561000.0,RAZOR CLAMS (SILIQUA PATULA) IN AIRTIGHT CONTAINERS,Clam
281,1605561500.0,"CLAMS, BOILED, WHETHER WHOLE, CHOPPED OR SALTED, BUT NOT OTHERWISE PREP OR PRESE",Clam
282,1605562000.0,"CLAMS IN AIRTIGHT CONTAINERS, NESOI",Clam
283,1605563000.0,"CLAMS, PREPARED OR PRESERVED, NESOI",Clam
284,1605900600.0,RAZOR CLAMS IN AIRTIGHT CONTAINERS,Clam
285,1605901000.0,CLAMS BOILED WHOLE/CHOPPED/SALTED NOV 680GRAMS GW,Clam
286,1605901500.0,"CLAMS, PREPARED OR PRESERVED",Clam
287,1605902000.0,"CLAMS IN AIRTIGHT CONTAINERS, NESOI",Clam
288,1605903000.0,"CLAMS, PREPARED OR PRESERVED, NESOI",Clam
289,1605904000.0,"OYSTERS, SMOKED",Oyster
290,1605905000.0,"OYSTERS EXCEPT SMOKED, PREPARED OR PRESERVED",Oyster
291,1605906040.0,"SCALLOPS, PREPARED OR PRESERVED",Scallop
